,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
0,2022-01-01,WDH1BET6,ST4000DM005,4000787030016,1,59.0,147088624.0,,,94.0,0.0,100.0,8.0,98.0,616.0,94.0,6765779746.0,,,60.0,35578.0,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,49.0,51.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,1460.0,100.0,1583.0,34.0,34.0,,,,,100.0,56.0,100.0,56.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35437.0,100.0,31437444984.0,100.0,278709245820.0,,,,,,,,,,,,,,,,,,,,
1,2022-01-01,96BDP79NT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1359.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,1.0,43003.0,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,100.0,3.0,100.0,1375.0,100.0,24.0,,,100.0,0.0,100.0,312.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,0.0,1.0,43007.0,100.0,0.0,100.0,0.0,,,100.0,260.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-01-01,ZA180YKM,ST8000NM0055,8001563222016,1,84.0,235414912.0,,,92.0,0.0,100.0,6.0,100.0,0.0,92.0,1648829029.0,,,57.0,38229.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,62.0,38.0,94.0,12734.0,100.0,12.0,70.0,60576.0,38.0,38.0,84.0,235414912.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,38205.0,100.0,77101431456.0,100.0,298715964404.0,,,,,,,,,,,,,,,,,,,,
3,2022-01-02,ZHZ4YA04,ST12000NM0008,12000138625024,1,79.0,70963736.0,,,90.0,0.0,100.0,11.0,100.0,3408.0,84.0,279190680.0,,,80.0,18132.0,100.0,0.0,,,100.0,10.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,176.0,100.0,131074.0,,,62.0,38.0,,,100.0,3.0,100.0,1894.0,38.0,38.0,1.0,70963736.0,,,100.0,96.0,100.0,96.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,17662.0,100.0,68554808168.0,100.0,243284577040.0,,,,,,,,,,,,,,,,,,,,
4,2022-01-02,ZHZ3PXX8,ST12000NM0008,12000138625024,1,70.0,94032960.0,,,97.0,0.0,100.0,3.0,100.0,928.0,87.0,503737847.0,,,79.0,19183.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,73.0,100.0,4296802332.0,,,75.0,25.0,,,100.0,219.0,100.0,997.0,25.0,25.0,1.0,94032960.0,,,100.0,376.0,100.0,376.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,19023.0,100.0,81545451064.0,100.0,193939767296.0,,,,,,,,,,,,,,,,,,,,
5,2022-01-02,Z302SZJB,ST4000DM000,4000787030016,1,119.0,204006728.0,,,92.0,0.0,100.0,24.0,100.0,0.0,85.0,365017355.0,,,38.0,55047.0,100.0,0.0,,,100.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,34.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,94.0,12730.0,26.0,26.0,,,,,100.0,96.0,100.0,96.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,54928.0,100.0,69609305792.0,100.0,723626048102.0,,,,,,,,,,,,,,,,,,,,
6,2022-01-02,8HH2SDRH,HGST HUH721212ALE604,12000138625024,1,100.0,0.0,132.0,96.0,100.0,0.0,100.0,7.0,100.0,11.0,100.0,0.0,140.0,15.0,99.0,11982.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,405.0,100.0,405.0,250.0,24.0,,,100.0,11.0,100.0,344.0,100.0,11.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-01-02,5PHRWLWD,HGST HUH721212ALE604,12000138625024,1,100.0,0.0,130.0,100.0,100.0,0.0,100.0,5.0,100.0,0.0,100.0,0.0,140.0,15.0,99.0,7272.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,630.0,100.0,630.0,187.0,32.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022-01-02,ZLW0TZ79,ST12000NM001G,12000138625024,1,80.0,99327104.0,,,93.0,0.0,100.0,6.0,100.0,0.0,89.0,729257100.0,,,94.0,5948.0,100.0,0.0,,,100.0,6.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4530.0,100.0,0.0,,,69.0,31.0,,,98.0,4530.0,98.0,4845.0,31.0,31.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,5858.0,100.0,40889227880.0,100.0,69565870929.0,,,,,,,,,,,,,,,,,,,,
9,2022-01-02,ZHZ3T1AC,ST12000NM0008,12000138625024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
